LogicalDesignator,ManufacturerPartNumber,Manufacturer,Note,PhysicalPath,FunctionalGroupTitle,ApprovedBy,DocumentNumberE3,FirstApply,Author,Organization,NormInspection,Title,CheckedBy
"C21","GRM188R72A104KA35","фирма "Murata"","","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"C22","GRM188R72A104KA35","фирма "Murata"","","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"C23","GRM188R72A104KA35","фирма "Murata"","Не уст.","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"C24","GRM188R61H105KAALD","фирма "Murata"","","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"C25","GRM188R61H105KAALD","фирма "Murata"","","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"C26","GRM188R61H105KAALD","фирма "Murata"","","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"C27","GRM188R61H105KAALD","фирма "Murata"","Не уст.","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"C28","GRM32ER7YA106KA12L","фирма "Murata"","","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"C29","GRM32ER7YA106KA12L","фирма "Murata"","","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"C30","GRM32ER7YA106KA12L","фирма "Murata"","","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"C31","GRM32ER7YA106KA12L","фирма "Murata"","Не уст.","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
